,p,q,m,q/p,t*,t**,s(t*),cluster,,사업 형태,업종,사원 수 (22.02.01 기준)
오피지지,0.005393107,0.101893908,1548688.699,18.89335862,27.39204233,15.11695113,43737.12633,1,,지원,"게임, 데이터분석",82
클라썸,0.002542797,0.142443769,31118,56.01854455,27.76590214,18.6825923,1148.0578,1,,지원,"교육, 교육보조",33
프리윌린,0.001820204,0.088812834,104194.7708,48.79278149,42.89365607,28.36299574,2409.257853,1,,구독/멤버쉽,"교육, 수학교육",107
나인탭,0.000630466,0.176651931,227581,280.1924807,31.78813505,24.35954702,10122.5249,3,,유통,모바일 캐주얼 게임 개발 및 퍼블리싱,10
러너스마인드,0.001553314,0.107613649,1561346,69.2800413,38.8227055,26.7590018,43226.91706,1,,지원,"교육, 외국어",8
다노,0.000154492,0.172096472,279337,1113.954261,40.72935912,33.08378275,12039.81535,4,,지원,헬스케어,76
닥터다이어리,0.005067619,0.010732837,143694.3294,2.117924898,47.49462717,-35.85473065,835.6114179,5,,연구/분석,"바이오, 의료",36
당근마켓,0.000161192,0.138801031,22725271.76,861.0913135,48.6333653,39.1562724,790405.417,4,,중개,중고거래,294
링글잉글리시에듀케이션서비스,0.003267303,0.063280094,40153.11714,19.36768278,44.5337605,24.74398726,702.5129049,1,,지원,"교육, 외국어",56
더파이러츠,0.01016921,0.021680902,251085.1249,2.132014481,23.76969037,-17.57892092,2937.010959,5,,지원,"수산업, 정보제공",130
두꺼비세상,0.009337458,0.021891412,353311.3541,2.344472339,27.28438017,-14.88678699,3934.924175,5,,중개,"부동산, 원룸/빌라",53
디스코,0.000630415,0.176654966,227581,280.2201185,31.78815647,24.35969345,10122.69169,3,,중개,부동산 검색,16
디코드,0.000187042,0.08971743,145129.3962,479.6652209,68.66275143,54.01433773,3268.745893,4,,중개,"금융, 대부업",
캐치잇플레이,0.007597677,0.074043614,280645,9.745559929,27.88799346,11.75696612,6315.815513,2,,지원,"교육, 외국어",19
튜터링,0.013170308,0.05781483,330459,4.389785602,20.83929713,2.286710925,7200.343342,2,,지원,"교육, 외국어",
레드블루,0.000595701,0.056990611,982928.5936,95.66989829,79.2011781,56.33189086,14298.72088,3,,지원,피트니스 센터 통합 운영 관리 서비스,21
