,p,q,m,q/p,t*,t**,s(t*),X(t),Adjusted-R2
겟차,0.006895754,0.067326791,103259,9.763514431,30.70027369,12.95690594,2112.280965,23.19461742,0.780472046
구루미,0.003074256,0.088705878,540839.7825,28.8544217,36.63388886,22.28483714,12839.66274,11.20774987,0.946958708
그린카,0.00387239,0.026508809,1089443.865,6.845593249,63.31564172,19.96784995,9483.408898,9.029528107,0.839096123
나인탭,0.000630466,0.176651931,227581,280.1924807,31.78813505,24.35954702,10122.5249,15.1169254,0.919007112
뉴플로이,0.00785461,0.072714182,76926,9.257516337,27.62156072,11.27580384,1716.831785,25.26912877,0.896121148
다노,0.000154492,0.172096472,279337,1113.954261,40.72935912,33.08378275,12039.81535,13.67507348,0.883203823
닥터다이어리,0.005067619,0.010732837,143694.3294,2.117924898,47.49462717,-35.85473065,835.6114179,7.402950447,0.565123807
당근마켓,0.000161192,0.138801031,22725271.76,861.0913135,48.6333653,39.1562724,790405.417,9.4325239,0.994846314
더치트,0.005617036,0.025032045,1073221.983,4.456451101,48.75685326,5.787933302,10068.57811,11.68695312,0.95260945
더파이러츠,0.01016921,0.021680902,251085.1249,2.132014481,23.76969037,-17.57892092,2937.010959,17.62311089,0.785239322
두꺼비세상,0.009337458,0.021891412,353311.3541,2.344472339,27.28438017,-14.88678699,3934.924175,16.18090088,0.880614565
드림모션,9.08E-09,0.462533433,198928,50955686.04,38.36796496,35.5206943,23002.71361,4.359748251,0.594633038
디스코,0.000630415,0.176654966,227581,280.2201185,31.78815647,24.35969345,10122.69169,15.1169254,0.919007112
디코드,0.000187042,0.08971743,145129.3962,479.6652209,68.66275143,54.01433773,3268.745893,1.39651239,0.838435908
딜리버리히어로코리아,0.004292902,0.115895724,8358501.272,26.99705747,27.42129598,16.4638706,260452.031,28.76240539,0.872406796
라프텔,0.001706516,0.056762326,2021528.249,33.26210813,59.93651894,37.41242145,30437.47529,7.758807233,0.9324802
러너스마인드,0.001553314,0.107613649,1561346,69.2800413,38.8227055,26.7590018,43226.91706,16.36456493,0.86624287
레드블루,0.000595701,0.056990611,982928.5936,95.66989829,79.2011781,56.33189086,14298.72088,1.47967717,0.921049805
로앤컴퍼니,0.000212015,0.027631932,961907.8369,130.329908,174.9058422,127.6080256,6747.203679,0.48387172,0.598188841
리디,0.010349426,0.075808407,2239945.656,7.32489015,23.11198068,7.826569476,54833.96499,28.59257448,0.974656711
리치플래닛,0.019587092,0.019856064,287484,1.013732102,0.345780423,-33.04297487,5631.237484,23.51899236,0.663378065
링글잉글리시에듀케이션서비스,0.003267303,0.063280094,40153.11714,19.36768278,44.5337605,24.74398726,702.5129049,6.982521407,0.857072695
마드라스체크,0.005869951,0.024482276,60496.16424,4.170780301,47.05101675,3.661848074,569.1112639,10.91346878,0.664745059
마보,0.011956,0.06821005,231933,5.70508955,21.72189698,5.294021383,5463.049761,28.04907883,0.913352182
마켓디자이너스,0.013170359,0.057814495,330459,4.389743189,20.83924448,2.286583973,7200.327412,26.27955964,0.845719285
맘편한세상,0.010790826,0.073459101,156695,6.807551274,22.76598396,7.134422603,3785.198004,11.90029675,0.797360676
망고슬래브,0.000195035,0.024545083,4431930.441,125.8493831,195.4350314,142.2033582,27629.4339,0.310704335,0.540263403
망고플레이트,0.016822922,0.043771998,673392,2.601925931,15.78105747,-5.952742967,14121.60389,28.66885261,0.82942439
매스아시아,1.85E-05,0.092152648,45423178.8,4976.108964,92.35429936,78.06612289,1046887.188,0.058740033,0.922389881
머스트잇,0.002993711,0.113678364,92073,37.97238553,31.17163382,19.88394654,2756.311728,22.96718908,0.896044091
머지홀딩스,0.000571227,0.089387235,5587768.443,156.4827442,56.1697658,41.53014361,126469.8349,1.567904091,0.972513901
메쉬코리아,0.000643002,0.158821602,11672,247.0002282,34.54929267,26.29067058,467.201589,12.53829678,0.56322361
모두컴퍼니,0.007334293,0.101689573,347580,13.86494496,24.11732229,12.03778459,10156.90804,29.6115139,0.880805088
무신사,0.006213006,0.074598211,5713862.806,12.00678239,30.75651848,14.45979699,125050.2888,14.10120469,0.975783815
문피아,0.017653534,0.035863225,624697.3166,2.031503978,13.244008,-11.36431849,12472.10979,27.94771409,0.906053144
미머디,0.024061642,0.022281873,9259,0.926032949,-1.658170806,-30.07547804,223.115804,20.82525111,0.622154944
미소,0.010465484,0.060677855,140308,5.797902402,24.70359439,6.19226346,2925.908317,25.48304445,0.740703604
밀리의서재,0.003075816,0.114409959,1442054.258,37.19662352,30.78004981,19.57054038,43493.89977,16.59494632,0.956695063
바닐라브릿지,0.001109906,0.169536582,13906.06584,152.7486452,29.46907259,21.75160992,597.139189,7.893533747,0.913081577
박스트리,1.59E-06,0.1100866,14757656.08,69190.83998,101.233599,89.27084541,406166.7849,0.009878195,0.676435851
백패커,0.002768504,0.032730706,9259858.232,11.82252474,69.57919833,32.48096744,89130.50179,7.748819496,0.863119904
밸류업시스템즈,0.000506149,0.00633151,6817970.569,12.50918208,369.4923863,176.8887632,12586.43422,0.494868813,0.878036477
뱅크샐러드,0.001514184,0.207624109,2085118,137.1194341,23.5291789,17.23211166,109814.5749,25.56726766,0.941028393
버킷플레이스,0.000343093,0.120082728,6310839.33,350.0000477,48.64349863,37.70765548,190539.8514,9.997390157,0.98739019
벤디스,0.005203893,0.093953243,78072,18.05441644,29.17984982,15.89832565,2042.544299,18.7996721,0.890473287
브랜드엑스코퍼레이션,0.005923284,0.03566321,314667.9764,6.020851171,43.16854973,11.50062666,3814.843624,10.3042516,0.906615873
브랜디,0.002957609,0.083525141,1739883.511,28.24076509,38.62928162,23.40129804,38949.50525,17.30070709,0.913619462
브레인커머스,0.012159816,0.066156241,524765,5.440562625,21.62880194,4.812864667,12162.85911,28.96971978,0.911510961
비바리퍼블리카,0.007503298,0.097811557,12476686.3,13.0358093,24.38117708,11.87621854,353694.5433,29.81029298,0.917361777
비주얼,5.04E-06,0.125878662,26851111.2,24986.76956,80.44013456,69.97843142,845063.1239,0.021222995,0.895299169
빅쏠,0.012704253,0.109728813,80845,8.637171579,17.6102359,6.853681766,2761.022475,14.57476653,0.836154363
생활연구소,0.004597874,0.105569686,112389,22.96054518,28.44555449,16.49141932,3230.21957,16.70314711,0.829792194
소프트베리,0.000127758,0.029159177,2887897.664,228.2373542,185.4200887,140.4526693,21237.06014,0.315249744,0.798741499
스톤아이,0.008434835,0.066817552,67758,7.921619653,27.50206045,10.00151388,1435.656638,15.76358511,0.563547969
시프티,0.002374883,0.139128385,52645.16091,58.58326055,28.76575976,19.45885173,1894.155636,15.64567352,0.926428836
아파트너,0.000801624,0.055368266,1815815.593,69.07012016,75.39844252,51.95246645,25867.70943,4.243900113,0.928207567
안다르,0.010555133,0.072897113,175237,6.906318877,23.15619846,7.375222404,4185.347747,19.44117395,0.649753272
앤스페이스,0.003629274,0.049317426,65175,13.58878531,49.28059394,24.40731785,926.1864966,11.66973533,0.707965886
업라이즈,3.23E-06,0.091209359,15264980.34,28268.60573,112.3694396,97.9311043,348101.8951,0.009340661,0.601754883
에이블리코퍼레이션,0.000106532,0.18351989,3494509,1722.673844,40.58039601,33.40845484,160514.1694,15.36543589,0.982795799
에이에스엔,9.28E-05,0.15017213,73052,1617.771338,49.17184243,40.40760406,2745.98524,10.81157258,0.500452512
에임,0.014982038,0.036910025,403636,2.463618383,17.37512641,-8.003665979,7361.858066,12.42722651,0.522278173
엔코드,0.00018696,0.089713936,145202.5627,479.8563115,68.66991301,54.02091667,3270.261033,1.395808698,0.838435908
오아시스,0.000103414,0.062273792,46195207.25,602.1766985,102.6104137,81.49760697,721578.2873,0.134053582,0.966968851
오피지지,0.005393107,0.101893908,1548688.699,18.89335862,27.39204233,15.11695113,43737.12633,27.32315864,0.961863002
와디즈플랫폼,0.001110419,0.123657724,655223,111.3613186,37.77230248,27.21706085,20621.26562,17.49303214,0.871533551
와이오엘오,0.000508261,0.139405353,103638.2101,274.2791612,40.12580531,30.71315516,3638.315946,6.718593454,0.911355032
왓챠,0.0000521,0.041449345,235664065.7,795.5728407,160.9356592,129.2028389,2448173.198,0.203449533,0.954629914
우아한형제들,0.005044778,0.03111149,36680337.32,6.16706783,50.31557614,13.89152185,385318.3796,12.05442096,0.928891453
운칠기삼,0.002719477,0.179103152,638903,65.85940533,23.03080897,15.78771772,29482.72183,25.31272666,0.958893907
워시스왓,0.000797831,0.125952405,89481.23066,157.8685727,39.93493849,29.54475744,2853.402545,11.72090496,0.884346619
원티드랩,0.004446103,0.024325408,271267.8364,5.471174919,59.06861793,13.29563437,2307.82844,10.37990363,0.688883329
웨딩북,0.003631493,0.089157196,57180.8671,24.5511127,34.49512228,20.30203571,1380.461892,21.94636185,0.789710548
윌림,0.02666924,0.0082022,320342,0.307552826,-33.81301112,-71.579099,11873.07755,26.95084316,0.775693902
인플루엔셜,0.001729892,0.166663675,587167,96.34341075,27.12644604,19.30573221,24975.35592,16.66377709,0.921651927
짐싸,0.005642941,0.069715854,61936,12.3545246,33.36070261,15.88486729,1261.303219,15.16676892,0.733061618
집꾸미기,0.00918607,0.080084583,168904,8.718046101,24.2565173,9.504100342,4201.926479,27.78784398,0.78458624
집토스,0.009964041,0.062945701,69346,6.31728643,25.28180327,7.218951025,1464.085611,19.54789029,0.729937091
채널코퍼레이션,3.00E-05,0.07101703,1787399.405,2365.471604,109.3463051,90.80988668,31760.78603,0.057775,0.664994287
카카오뱅크,0.01956724,0.015505864,16395029.58,0.792440027,-6.632958862,-44.18190016,325165.6319,18.51654634,0.913224837
캐치잇플레이,0.007597677,0.074043614,280645,9.745559929,27.88799346,11.75696612,6315.815513,24.24078106,0.773823493
커넥트핏,0.036644602,0.013247943,39901,0.361525093,-20.39230129,-46.78818621,1874.33259,19.45635448,0.755574606
컬리,0.000954737,0.11671715,2857750.701,122.2506189,40.84300288,29.6512226,84756.90825,15.65397464,0.979050833
케이크,0.013593467,0.332975793,2115801,24.49528137,9.22897924,5.428994502,190801.701,23.8907539,0.532980678
크라우드웍스,0.003097794,0.119633018,54626,38.61877292,29.77034395,19.0398854,1719.473823,11.33313807,0.709700034
크로키닷컴,0.037258447,0.013223063,3531038,0.354901078,-20.52070515,-46.60863114,170127.6907,34.56775855,0.883563883
크몽,0.001144903,0.106507234,328872.7566,93.02729734,42.10685527,29.87339731,8946.107525,15.02623705,0.968188922
클라썸,0.002542797,0.142443769,31118,56.01854455,27.76590214,18.6825923,1148.0578,9.18442702,0.703090745
클래스101,0.00270802,0.13597539,705786.7501,50.21210573,28.23882206,18.74267617,24957.5656,13.50976481,0.976407734
키노라이츠,1.11E-05,0.136568466,5614704.836,12290.97367,68.94603602,59.30361416,191729.1005,0.073838966,0.857628448
키튼플래닛,0.003599915,0.086412868,34095.28632,24.00414067,35.30861111,20.67782362,799.216257,10.55703116,0.623768292
탈잉,0.003633152,0.15015338,249583,41.32868409,24.19949751,15.63595243,9827.804336,22.79329121,0.91617559
투미유,0.000786534,0.130255134,60610,165.606532,38.9922899,28.94237278,1997.598785,10.06129352,0.780699582
튜터링,0.013170308,0.05781483,330459,4.389785602,20.83929713,2.286710925,7200.343342,26.27955964,0.845719285
팀오투,0.007645224,0.072701011,104993,9.509336661,28.03210534,11.64107099,2330.724632,11.4731744,0.745451867
파킹클라우드,0.017236177,0.017570607,90801,1.019402811,0.552104342,-37.2841372,1565.206603,23.43346439,0.637107281
패스트레인,1.16E-05,0.046718537,33314099.05,4037.909218,177.690205,149.5079906,389289.2392,0.031853721,0.671698443
펫프렌즈,0.000648328,0.105622223,306799.2666,162.9148034,47.92698765,35.53448677,8200.963644,6.954465777,0.978993167
프렌즈큐브,0.017222512,0.002325115,1195318.506,0.135004383,-102.4394463,-169.8112012,49109.70805,20.9025401,0.79084203
프렌트립,0.004870641,0.101613327,234761,20.86241412,28.52963898,16.16197539,6549.131964,25.72389366,0.902973416
프리윌린,0.001820204,0.088812834,104194.7708,48.79278149,42.89365607,28.36299574,2409.257853,10.18338053,0.828976209
피플카,5.50E-05,0.058511788,2281513.074,1064.633849,119.0161056,96.52966145,33436.57726,0.337038612,0.766002531
핀다,0.000423525,0.127576533,293768.6491,301.2258616,44.59263899,34.30391004,9431.80881,2.595906685,0.915439536
핏펫,1.96E-07,0.151313905,77641430.31,770916.5205,89.58408517,80.88061416,2937064.63,0.002600493,0.539153305
헬로네이처,4.67E-05,0.047625613,8215168.333,1019.719314,145.3103826,117.6851701,98005.04381,0.229370224,0.85367046
호갱노노,0.002309555,0.107496681,2718097,46.54432607,34.97438076,22.98090985,76219.11716,19.70594206,0.952888097
휴마트컴퍼니,6.79E-05,0.025652307,3954361.986,377.8927179,230.7374294,179.5341553,25494.0202,0.173485635,0.780937648
