,p,q,m,SSE,MSE,RMSE,MAE,MAPE,Adjusted-R2,AIC,q/p,t*,t**
미띵스,2.48396E-15,1.651187978,5596003.843,4863135795,243156789.8,15593.48549,9929.057774,0.93107715,0.997157693,392.1843404,6.6474E+14,20.67021939,19.87263734
딜라이트룸,4.46657E-15,1.548317022,39604184.55,5.05737E+11,24082735625,155186.1322,64155.57754,5.199245572,0.995322919,507.9999822,3.46646E+14,21.62304199,20.77246819
아테나스랩,4.9928E-07,0.882362958,658301.6805,4876391403,243819570.2,15614.72287,12890.39633,0.585318307,0.994157942,392.2387809,1767272.116,16.30274647,14.81021198
테이블링,1.22408E-05,0.432409474,110645494,9871539496,705109964,26553.90676,20465.10887,0.358197273,0.994127149,291.2341006,35325.31831,24.21792167,21.17238105
다날핀테크,2.3603E-11,2.224380902,2372750.324,19559499627,1629958302,40372.74207,24442.90861,0.885685221,0.993237988,260.5418432,94241610640,11.3600722,10.76801627
오케이쎄,3.44419E-10,1.194200989,63294638.57,10058538210,670569214,25895.3512,14241.96807,0.723887887,0.989439211,310.8545622,3467292177,18.39442437,17.29163019
데일리샷,4.43059E-07,0.680568427,4252191.992,2684407583,149133754.6,12212.03319,9619.051052,0.621942939,0.989295699,344.7663746,1536068.715,20.93063251,18.99554857
카카오페이,0.002084378,0.475107132,14226950.15,4.11999E+12,2.42353E+11,492293.1825,394988.5188,0.310409904,0.988367484,451.6322104,227.9371799,11.37713048,8.617320486
호갱노노,0.003737581,0.334845974,12298610.78,3.58866E+12,1.70889E+11,413386.9027,342124.6487,0.210172508,0.988293776,549.1498482,89.58896034,13.27658133,9.386971577
해피문데이,3.91748E-07,0.785134633,2043786.605,21754850306,1144992121,33837.73221,22260.63223,0.853103691,0.987853889,402.3146083,2004181.509,18.48184816,16.80448331
팔로,0.012436457,0.648163726,11880686,3.51745E+12,2.51247E+11,501245.2196,422519.9559,29.91308741,0.984742623,373.4958202,52.11803701,5.984725997,3.99114814
문토,2.0285E-07,0.799707902,4540468.252,420992961.7,28066197.45,5297.754,4591.408773,0.9661359,0.984671525,263.2511471,3942365.899,18.99104373,17.34424549
당근마켓,0.000435654,0.458509627,70589855,1.63777E+14,7.79888E+12,2792648.147,2101259.867,0.321565263,0.984244165,629.3850361,1052.463459,15.1627855,12.29325409
페이타랩,0.001005046,0.593914845,888685.5245,14168694361,1012049597,31812.72697,22102.96337,0.264448131,0.983856308,296.2934078,590.9327372,10.72699415,8.513321496
시프티,0.003370929,0.191631913,852326.0228,5852158623,278674220.1,16693.53827,13661.26213,1.403822361,0.983139496,414.3566337,56.8483965,20.71963654,13.96610473
