,p,q,m,SSE,MSE,RMSE,MAE,MAPE,Adjusted-R2,AIC,q/p,t*,t**
아테나스랩,4.9928E-07,0.882362958,658301.6805,4876391403,243819570.2,15614.72287,12890.39633,0.585318307,0.994157942,392.2387809,1767272.116,16.30274647,14.81021198
다날핀테크,2.3603E-11,2.224380902,2372750.324,19559499627,1629958302,40372.74207,24442.90861,0.885685221,0.993237988,260.5418432,94241610640,11.3600722,10.76801627
카카오페이,0.002084378,0.475107132,14226950.15,4.11999E+12,2.42353E+11,492293.1825,394988.5188,0.310409904,0.988367484,451.6322104,227.9371799,11.37713048,8.617320486
호갱노노,0.003737581,0.334845974,12298610.78,3.58866E+12,1.70889E+11,413386.9027,342124.6487,0.210172508,0.988293776,549.1498482,89.58896034,13.27658133,9.386971577
해피문데이,3.91748E-07,0.785134633,2043786.605,21754850306,1144992121,33837.73221,22260.63223,0.853103691,0.987853889,402.3146083,2004181.509,18.48184816,16.80448331
팔로,0.012436457,0.648163726,11880686,3.51745E+12,2.51247E+11,501245.2196,422519.9559,29.91308741,0.984742623,373.4958202,52.11803701,5.984725997,3.99114814
당근마켓,0.000435654,0.458509627,70589855,1.63777E+14,7.79888E+12,2792648.147,2101259.867,0.321565263,0.984244165,629.3850361,1052.463459,15.1627855,12.29325409
페이타랩,0.001005046,0.593914845,888685.5245,14168694361,1012049597,31812.72697,22102.96337,0.264448131,0.983856308,296.2934078,590.9327372,10.72699415,8.513321496
시프티,0.003370929,0.191631913,852326.0228,5852158623,278674220.1,16693.53827,13661.26213,1.403822361,0.983139496,414.3566337,56.8483965,20.71963654,13.96610473
고퀄,0.00495849,0.574510578,438321,4748336638,365256664.5,19111.68921,15363.5248,4.156300372,0.981321806,262.3094411,115.8640298,8.201330515,5.928633022
모두의클래스,7.21928E-12,1.363802074,779965.2455,8650460058,432523002.9,20797.18738,16242.26709,8.841634617,0.979105413,403.7029214,1.88911E+11,19.03835065,18.07269887
에이블리코퍼레이션,0.002005525,0.338294871,15572395.95,9.42276E+12,4.48703E+11,669852.9178,504477.678,0.264271359,0.978930196,569.4221645,168.6814822,15.0690751,11.19908871
오아시스,0.012458761,0.364763433,1831550.234,91696812117,6113120808,78186.449,66589.46615,0.59934656,0.977942805,344.0055488,29.27766608,8.951819467,5.460620064
매스프레소,0.012743831,0.374817368,6767258,3.44935E+12,1.64255E+11,405283.328,307959.6398,0.558623088,0.968791017,548.3183504,29.41167224,8.724793969,5.326729609
빌리어네어즈,0.030256363,0.524994425,617476.4002,13007071570,1182461052,34386.93141,27429.57214,1.182352253,0.967885536,235.7995011,17.35153753,5.139445418,2.767620066
어바웃펫,1.65474E-11,1.269781212,1942835.119,1.08781E+11,5180046086,71972.53702,31705.70658,0.831361243,0.967384616,475.7296756,76736057148,19.73854811,18.70139471
컬리,0.003893798,0.269344019,19484768.5,1.77371E+13,8.44622E+11,919033.284,650716.1627,0.180883095,0.966941765,582.70526,69.17256751,15.50519034,10.6853674
올리브유니온,1.18115E-12,1.631678658,581900,21199102001,1059955100,32556.95164,20989.63446,0.862157918,0.966246212,421.6298477,1.38144E+12,17.13213892,16.3250205
브레이브모바일,0.002755201,0.225517709,8285516.488,1.51319E+12,72056879169,268434.1244,209583.2495,0.206313874,0.96560016,531.0151543,81.85162449,19.29667493,13.52744943
버킷플레이스,0.000142507,0.571434117,23803129.77,5.24488E+13,2.49756E+12,1580367.253,1102813.053,0.432195754,0.963699294,605.4730483,4009.856079,14.51513283,12.21105348
와이랩,1.32652E-11,1.415201237,937520,65486957663,3118426555,55842.87381,33871.47393,1.204972772,0.962800686,465.0724825,1.06685E+11,17.94313381,17.01255386
에프아이에프엘,0.003948752,0.223573668,206456.1218,348039554.6,21752472.16,4663.954562,3543.137078,0.480028731,0.961218252,276.3238075,56.61881532,17.74041146,11.95215598
클래스101,0.000559319,0.640196934,7005776,4.20963E+12,2.47625E+11,497619.7101,318097.513,0.277139762,0.959679344,451.9981086,1144.601742,10.99140587,8.936087809
하얀마인드,2.28603E-06,0.951362667,690450,33318104326,1959888490,44270.62784,28438.28289,0.569524418,0.959652543,369.7346081,416163.3443,13.60028355,12.21600101
땀,0.010874421,0.145049505,1688290.744,88308315635,4205157887,64847.18874,54850.58108,0.174235527,0.958065169,471.3511312,13.33859583,16.61490863,8.168752002
비누랩스,0.023227923,0.132669704,10045730.78,4.88253E+12,2.32501E+11,482183.9675,410572.998,0.161195669,0.956175164,555.6154018,5.71164719,11.1772545,2.7296731
링커리어,0.001788368,0.570448742,1144194,93853208464,6256880564,79100.44604,68086.93905,0.351630164,0.951712563,344.3542138,318.9771925,10.07470417,7.773284227
